user_id,variant,signup_date,device,city,converted
0,A,2024-01-01 00:00:00,mobile,Delhi,False
1,B,2024-01-01 00:01:00,mobile,Mumbai,False
2,A,2024-01-01 00:02:00,mobile,Chennai,False
3,A,2024-01-01 00:03:00,tablet,Mumbai,False
4,A,2024-01-01 00:04:00,mobile,Mumbai,False
5,B,2024-01-01 00:05:00,mobile,Mumbai,False
6,A,2024-01-01 00:06:00,mobile,Bengaluru,False
7,A,2024-01-01 00:07:00,mobile,Delhi,False
8,A,2024-01-01 00:08:00,mobile,Mumbai,False
9,B,2024-01-01 00:09:00,mobile,Mumbai,False
10,A,2024-01-01 00:10:00,desktop,Mumbai,True
11,A,2024-01-01 00:11:00,mobile,Delhi,False
12,A,2024-01-01 00:12:00,desktop,Chennai,False
13,A,2024-01-01 00:13:00,mobile,Bengaluru,False
14,B,2024-01-01 00:14:00,mobile,Bengaluru,False
15,A,2024-01-01 00:15:00,mobile,Mumbai,False
16,B,2024-01-01 00:16:00,desktop,Chennai,False
17,B,2024-01-01 00:17:00,mobile,Chennai,False
18,B,2024-01-01 00:18:00,desktop,Chennai,False
19,A,2024-01-01 00:19:00,desktop,Chennai,False
20,B,2024-01-01 00:20:00,mobile,Mumbai,False
21,A,2024-01-01 00:21:00,mobile,Bengaluru,False
22,B,2024-01-01 00:22:00,desktop,Delhi,False
23,B,2024-01-01 00:23:00,mobile,Mumbai,False
24,B,2024-01-01 00:24:00,mobile,Delhi,True
25,B,2024-01-01 00:25:00,mobile,Bengaluru,False
26,B,2024-01-01 00:26:00,mobile,Mumbai,False
27,B,2024-01-01 00:27:00,desktop,Mumbai,False
28,B,2024-01-01 00:28:00,mobile,Chennai,False
29,B,2024-01-01 00:29:00,mobile,Delhi,False
30,A,2024-01-01 00:30:00,mobile,Delhi,False
31,A,2024-01-01 00:31:00,desktop,Delhi,False
32,B,2024-01-01 00:32:00,mobile,Chennai,False
33,B,2024-01-01 00:33:00,desktop,Chennai,False
34,B,2024-01-01 00:34:00,desktop,Chennai,False
35,A,2024-01-01 00:35:00,mobile,Chennai,False
36,B,2024-01-01 00:36:00,mobile,Mumbai,False
37,A,2024-01-01 00:37:00,mobile,Bengaluru,False
38,A,2024-01-01 00:38:00,desktop,Bengaluru,False
39,A,2024-01-01 00:39:00,desktop,Bengaluru,False
40,A,2024-01-01 00:40:00,tablet,Delhi,False
41,A,2024-01-01 00:41:00,mobile,Delhi,False
